doc_id,doc_group,parse_quality_tier,selection_reason,reviewer_name,review_date,structure_correct,section_hierarchy_correct,table_correct,consolidation_basis_correct,issues_found,decision,notes
exchange_20260316801038,exchange,structured,"stratified sample: doc_group=exchange parse_quality_tier=structured (stratum_size=1469, selected=31/90 target)",,,,,,,,,
exchange_20251125800192,exchange,structured,"stratified sample: doc_group=exchange parse_quality_tier=structured (stratum_size=1469, selected=31/90 target)",,,,,,,,,
exchange_20231120800519,exchange,structured,"stratified sample: doc_group=exchange parse_quality_tier=structured (stratum_size=1469, selected=31/90 target)",,,,,,,,,
exchange_20240708800114,exchange,structured,"stratified sample: doc_group=exchange parse_quality_tier=structured (stratum_size=1469, selected=31/90 target)",,,,,,,,,
exchange_20230731800530,exchange,structured,"stratified sample: doc_group=exchange parse_quality_tier=structured (stratum_size=1469, selected=31/90 target)",,,,,,,,,
exchange_20230622800089,exchange,structured,"stratified sample: doc_group=exchange parse_quality_tier=structured (stratum_size=1469, selected=31/90 target)",,,,,,,,,
exchange_20260209801845,exchange,structured,"stratified sample: doc_group=exchange parse_quality_tier=structured (stratum_size=1469, selected=31/90 target)",,,,,,,,,
exchange_20240823800495,exchange,structured,"stratified sample: doc_group=exchange parse_quality_tier=structured (stratum_size=1469, selected=31/90 target)",,,,,,,,,
exchange_20250402800790,exchange,structured,"stratified sample: doc_group=exchange parse_quality_tier=structured (stratum_size=1469, selected=31/90 target)",,,,,,,,,
exchange_20250924800260,exchange,structured,"stratified sample: doc_group=exchange parse_quality_tier=structured (stratum_size=1469, selected=31/90 target)",,,,,,,,,
exchange_20230803800117,exchange,structured,"stratified sample: doc_group=exchange parse_quality_tier=structured (stratum_size=1469, selected=31/90 target)",,,,,,,,,
holding_20250321001642,holding,partial,"stratified sample: doc_group=holding parse_quality_tier=partial (stratum_size=268, selected=6/90 target)",,,,,,,,,
holding_20251001000408,holding,partial,"stratified sample: doc_group=holding parse_quality_tier=partial (stratum_size=268, selected=6/90 target)",,,,,,,,,
holding_20250110000483,holding,partial,"stratified sample: doc_group=holding parse_quality_tier=partial (stratum_size=268, selected=6/90 target)",,,,,,,,,
holding_20240520000214,holding,partial,"stratified sample: doc_group=holding parse_quality_tier=partial (stratum_size=268, selected=6/90 target)",,,,,,,,,
holding_20251205000409,holding,partial,"stratified sample: doc_group=holding parse_quality_tier=partial (stratum_size=268, selected=6/90 target)",,,,,,,,,
holding_20251014000033,holding,partial,"stratified sample: doc_group=holding parse_quality_tier=partial (stratum_size=268, selected=6/90 target)",,,,,,,,,
holding_20250304000601,holding,structured,"stratified sample: doc_group=holding parse_quality_tier=structured (stratum_size=815, selected=17/90 target)",,,,,,,,,
holding_20240201000390,holding,structured,"stratified sample: doc_group=holding parse_quality_tier=structured (stratum_size=815, selected=17/90 target)",,,,,,,,,
holding_20230403004239,holding,structured,"stratified sample: doc_group=holding parse_quality_tier=structured (stratum_size=815, selected=17/90 target)",,,,,,,,,
holding_20250327000647,holding,structured,"stratified sample: doc_group=holding parse_quality_tier=structured (stratum_size=815, selected=17/90 target)",,,,,,,,,
holding_20230112000007,holding,structured,"stratified sample: doc_group=holding parse_quality_tier=structured (stratum_size=815, selected=17/90 target)",,,,,,,,,
holding_20230502000769,holding,structured,"stratified sample: doc_group=holding parse_quality_tier=structured (stratum_size=815, selected=17/90 target)",,,,,,,,,
holding_20251205000450,holding,structured,"stratified sample: doc_group=holding parse_quality_tier=structured (stratum_size=815, selected=17/90 target)",,,,,,,,,
holding_20240813001202,holding,structured,"stratified sample: doc_group=holding parse_quality_tier=structured (stratum_size=815, selected=17/90 target)",,,,,,,,,
holding_20251120000263,holding,structured,"stratified sample: doc_group=holding parse_quality_tier=structured (stratum_size=815, selected=17/90 target)",,,,,,,,,
holding_20260318000847,holding,structured,"stratified sample: doc_group=holding parse_quality_tier=structured (stratum_size=815, selected=17/90 target)",,,,,,,,,
holding_20250918000327,holding,structured,"stratified sample: doc_group=holding parse_quality_tier=structured (stratum_size=815, selected=17/90 target)",,,,,,,,,
holding_20250702000173,holding,structured,"stratified sample: doc_group=holding parse_quality_tier=structured (stratum_size=815, selected=17/90 target)",,,,,,,,,
holding_20230103000009,holding,structured,"stratified sample: doc_group=holding parse_quality_tier=structured (stratum_size=815, selected=17/90 target)",,,,,,,,,
holding_20250617000355,holding,structured,"stratified sample: doc_group=holding parse_quality_tier=structured (stratum_size=815, selected=17/90 target)",,,,,,,,,
holding_20250106000284,holding,structured,"stratified sample: doc_group=holding parse_quality_tier=structured (stratum_size=815, selected=17/90 target)",,,,,,,,,
holding_20240528000012,holding,structured,"stratified sample: doc_group=holding parse_quality_tier=structured (stratum_size=815, selected=17/90 target)",,,,,,,,,
holding_20240108000190,holding,structured,"stratified sample: doc_group=holding parse_quality_tier=structured (stratum_size=815, selected=17/90 target)",,,,,,,,,
major_20260326000117,major,partial,"stratified sample: doc_group=major parse_quality_tier=partial (stratum_size=189, selected=4/90 target)",,,,,,,,,
major_20241025000080,major,partial,"stratified sample: doc_group=major parse_quality_tier=partial (stratum_size=189, selected=4/90 target)",,,,,,,,,
major_20260310002972,major,partial,"stratified sample: doc_group=major parse_quality_tier=partial (stratum_size=189, selected=4/90 target)",,,,,,,,,
major_20230511000385,major,partial,"stratified sample: doc_group=major parse_quality_tier=partial (stratum_size=189, selected=4/90 target)",,,,,,,,,
major_20231026000001,major,structured,"stratified sample: doc_group=major parse_quality_tier=structured (stratum_size=409, selected=9/90 target)",,,,,,,,,
major_20250423000507,major,structured,"stratified sample: doc_group=major parse_quality_tier=structured (stratum_size=409, selected=9/90 target)",,,,,,,,,
major_20240116000111,major,structured,"stratified sample: doc_group=major parse_quality_tier=structured (stratum_size=409, selected=9/90 target)",,,,,,,,,
major_20240207001011,major,structured,"stratified sample: doc_group=major parse_quality_tier=structured (stratum_size=409, selected=9/90 target)",,,,,,,,,
major_20230628000356,major,structured,"stratified sample: doc_group=major parse_quality_tier=structured (stratum_size=409, selected=9/90 target)",,,,,,,,,
major_20250326000967,major,structured,"stratified sample: doc_group=major parse_quality_tier=structured (stratum_size=409, selected=9/90 target)",,,,,,,,,
major_20241108000504,major,structured,"stratified sample: doc_group=major parse_quality_tier=structured (stratum_size=409, selected=9/90 target)",,,,,,,,,
major_20230424000440,major,structured,"stratified sample: doc_group=major parse_quality_tier=structured (stratum_size=409, selected=9/90 target)",,,,,,,,,
major_20230404000050,major,structured,"stratified sample: doc_group=major parse_quality_tier=structured (stratum_size=409, selected=9/90 target)",,,,,,,,,
periodic_20250814003907,periodic,fallback,"stratified sample: doc_group=periodic parse_quality_tier=fallback (stratum_size=79, selected=2/90 target)",,,,,,,,,
periodic_20260320001246,periodic,fallback,"stratified sample: doc_group=periodic parse_quality_tier=fallback (stratum_size=79, selected=2/90 target)",,,,,,,,,
periodic_20260515002588,periodic,partial,"stratified sample: doc_group=periodic parse_quality_tier=partial (stratum_size=975, selected=21/90 target)",,,,,,,,,
periodic_20241113000699,periodic,partial,"stratified sample: doc_group=periodic parse_quality_tier=partial (stratum_size=975, selected=21/90 target)",,,,,,,,,
periodic_20230814002078,periodic,partial,"stratified sample: doc_group=periodic parse_quality_tier=partial (stratum_size=975, selected=21/90 target)",,,,,,,,,
periodic_20240322000989,periodic,partial,"stratified sample: doc_group=periodic parse_quality_tier=partial (stratum_size=975, selected=21/90 target)",,,,,,,,,
periodic_20241227000631,periodic,partial,"stratified sample: doc_group=periodic parse_quality_tier=partial (stratum_size=975, selected=21/90 target)",,,,,,,,,
periodic_20240320001965,periodic,partial,"stratified sample: doc_group=periodic parse_quality_tier=partial (stratum_size=975, selected=21/90 target)",,,,,,,,,
periodic_20250814001936,periodic,partial,"stratified sample: doc_group=periodic parse_quality_tier=partial (stratum_size=975, selected=21/90 target)",,,,,,,,,
periodic_20230814002621,periodic,partial,"stratified sample: doc_group=periodic parse_quality_tier=partial (stratum_size=975, selected=21/90 target)",,,,,,,,,
periodic_20241114002966,periodic,partial,"stratified sample: doc_group=periodic parse_quality_tier=partial (stratum_size=975, selected=21/90 target)",,,,,,,,,
periodic_20240514000898,periodic,partial,"stratified sample: doc_group=periodic parse_quality_tier=partial (stratum_size=975, selected=21/90 target)",,,,,,,,,
periodic_20260107000712,periodic,partial,"stratified sample: doc_group=periodic parse_quality_tier=partial (stratum_size=975, selected=21/90 target)",,,,,,,,,
periodic_20260515002132,periodic,partial,"stratified sample: doc_group=periodic parse_quality_tier=partial (stratum_size=975, selected=21/90 target)",,,,,,,,,
periodic_20241114002688,periodic,partial,"stratified sample: doc_group=periodic parse_quality_tier=partial (stratum_size=975, selected=21/90 target)",,,,,,,,,
periodic_20231114002666,periodic,partial,"stratified sample: doc_group=periodic parse_quality_tier=partial (stratum_size=975, selected=21/90 target)",,,,,,,,,
periodic_20251114002441,periodic,partial,"stratified sample: doc_group=periodic parse_quality_tier=partial (stratum_size=975, selected=21/90 target)",,,,,,,,,
periodic_20250319000665,periodic,partial,"stratified sample: doc_group=periodic parse_quality_tier=partial (stratum_size=975, selected=21/90 target)",,,,,,,,,
periodic_20250317001025,periodic,partial,"stratified sample: doc_group=periodic parse_quality_tier=partial (stratum_size=975, selected=21/90 target)",,,,,,,,,
periodic_20240320001402,periodic,partial,"stratified sample: doc_group=periodic parse_quality_tier=partial (stratum_size=975, selected=21/90 target)",,,,,,,,,
periodic_20240814003690,periodic,partial,"stratified sample: doc_group=periodic parse_quality_tier=partial (stratum_size=975, selected=21/90 target)",,,,,,,,,
periodic_20230814000127,periodic,partial,"stratified sample: doc_group=periodic parse_quality_tier=partial (stratum_size=975, selected=21/90 target)",,,,,,,,,
periodic_20250318001121,periodic,partial,"stratified sample: doc_group=periodic parse_quality_tier=partial (stratum_size=975, selected=21/90 target)",,,,,,,,,
